Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Jeffinho,1,0,0,20/24 (83%),17 (7),7,0,75',F,8.0
Gatito Fernández,0,0,1,8/8 (100%),3 (3),1,2,90',G,7.9
Hugo,0,1,0,28/31 (90%),14 (6),5,1,84',M,7.7
Tiquinho Soares,0,0,1,13/16 (81%),17 (7),4,3,65',F,7.6
Danilo Barbosa,0,0,0,57/66 (86%),12 (10),6,4,90',D,7.5
Eduardo,0,0,0,46/56 (82%),14 (7),3,4,90',F,7.5
Marlon Freitas,0,0,0,47/55 (85%),6 (2),1,1,75',M,7.5
Lucas Halter,0,0,0,37/42 (88%),14 (6),3,3,90',D,7.4
Alexander Barboza,0,0,1,61/69 (88%),22 (9),6,3,90',D,7.3
Tchê Tchê,0,0,0,64/67 (96%),17 (7),7,0,90',M,7.3
Matías Segovia,0,0,2,4/6 (67%),15 (8),8,0,30',F,7.0
Victor Sá,0,0,0,28/29 (97%),6 (1),1,0,65',M,6.9
Júnior Santos,0,0,1,9/10 (90%),16 (7),7,0,40',M,6.7
Janderson,0,0,0,11/13 (85%),19 (3),3,0,40',F,6.6
Marçal,0,0,0,7/7 (100%),2 (2),1,1,21',M,6.6
Newton Junior,0,0,0,6/8 (75%),5 (1),1,0,30',M,6.2
