Player,Defensive_actions,Clearances,Blocked_shots,Interceptions,Tackles,Dribbled_past,Notes,Position,Sofascore_rating
Jeffinho,1,1,0,0,0,1,-,F,8.0
Gatito Fernández,2,2,0,0,1,0,-,G,7.9
Hugo,2,1,0,1,0,3,-,M,7.7
Tiquinho Soares,0,0,0,0,1,0,-,F,7.6
Danilo Barbosa,7,4,0,3,0,1,Error led to shot: 1,D,7.5
Eduardo,0,0,0,0,0,0,-,F,7.5
Marlon Freitas,2,0,1,1,0,0,-,M,7.5
Lucas Halter,8,5,2,1,0,0,-,D,7.4
Alexander Barboza,4,2,0,2,1,0,Error led to shot: 1,D,7.3
Tchê Tchê,2,0,0,2,0,1,-,M,7.3
Matías Segovia,0,0,0,0,2,1,Error led to shot: 1,F,7.0
Victor Sá,3,1,0,2,0,0,-,M,6.9
Júnior Santos,1,1,0,0,1,0,-,M,6.7
Janderson,0,0,0,0,0,0,-,F,6.6
Marçal,0,0,0,0,0,0,-,M,6.6
Newton Junior,1,0,0,1,0,0,Error led to shot: 1,M,6.2
