Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Mota,0,0,0,15/18 (83%),0 (0),0,0,90',G,7.4
Evandro,0,0,0,58/66 (88%),20 (6),6,0,90',D,7.3
Arthur Edeson,0,0,2,45/51 (88%),18 (8),4,4,90',D,7.2
Arthur Santos,0,0,0,59/61 (97%),12 (9),9,0,85',M,7.2
Almir,0,0,1,41/46 (89%),18 (7),7,0,90',D,7.1
Vinicius Bala,0,0,0,5/8 (63%),5 (3),3,0,25',M,7.0
Marcão,0,0,0,44/46 (96%),12 (5),2,3,90',D,6.8
Antônio Carlos,0,0,0,12/12 (100%),11 (5),2,3,55',D,6.7
Hugo Borges,0,0,0,18/25 (72%),12 (2),2,0,80',M,6.7
Patrick Vieira,0,0,0,13/14 (93%),15 (4),3,1,62',F,6.7
Matheus Lira,0,0,0,51/59 (86%),15 (3),2,1,90',M,6.6
Pablo Pardal,0,0,0,20/22 (91%),12 (1),1,0,50',F,6.5
Fábio Matos,0,0,0,10/12 (83%),3 (1),1,0,20',M,6.4
Arthur Da Silva,0,0,0,8/12 (67%),16 (4),4,0,50',M,6.3
Wagninho,0,0,0,17/19 (89%),17 (3),3,0,55',M,6.2
Rodrigão,0,0,0,2/2 (100%),13 (3),2,1,43',F,6.0
