Player,Defensive_actions,Clearances,Blocked_shots,Interceptions,Tackles,Dribbled_past,Notes,Position,Sofascore_rating
Mota,2,1,0,1,0,0,-,G,7.4
Evandro,7,3,1,3,0,2,-,D,7.3
Arthur Edeson,10,5,3,2,2,0,Error led to shot: 1,D,7.2
Arthur Santos,1,0,0,1,0,0,-,M,7.2
Almir,3,2,0,1,1,4,Error led to shot: 1,D,7.1
Vinicius Bala,0,0,0,0,0,0,-,M,7.0
Marcão,7,4,0,3,0,2,-,D,6.8
Antônio Carlos,1,0,0,1,0,0,-,D,6.7
Hugo Borges,1,0,0,1,0,0,-,M,6.7
Patrick Vieira,0,0,0,0,0,0,-,F,6.7
Matheus Lira,4,0,1,3,0,2,Error led to shot: 1,M,6.6
Pablo Pardal,1,1,0,0,0,0,-,F,6.5
Fábio Matos,0,0,0,0,0,1,-,M,6.4
Arthur Da Silva,1,0,0,1,0,3,-,M,6.3
Wagninho,1,1,0,0,0,0,-,M,6.2
Rodrigão,0,0,0,0,0,0,-,F,6.0
