Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Gerson Júnior,0,0,0,29/33 (88%),22 (12),12,0,90',M,7.3
Patrick,0,0,0,38/42 (90%),33 (14),14,0,90',F,7.3
Leandro Naziozeno,0,0,0,10/12 (83%),0 (0),0,0,90',G,7.2
Arlen,0,0,0,19/21 (90%),10 (5),5,0,44',D,6.9
Clisman,0,0,1,12/15 (80%),10 (5),5,0,60',F,6.6
Jackson Caucaia,0,0,0,24/27 (89%),7 (4),3,1,34',M,6.6
Romarinho,0,0,0,24/27 (89%),8 (4),3,1,56',M,6.6
Diego Miticov,0,0,0,25/27 (93%),10 (1),1,0,66',M,6.5
Pablo Alves,0,0,0,12/13 (92%),4 (0),0,0,34',M,6.5
Victor Gualberto,0,0,0,16/17 (94%),3 (0),0,0,40',M,6.4
João Cabral,0,0,0,4/5 (80%),5 (1),1,0,40',F,6.2
João Victor de Sousa,0,0,0,28/31 (90%),10 (1),1,0,90',D,6.2
Igor,0,0,0,27/32 (84%),9 (5),5,0,90',D,6.0
Matheus Claudino,0,0,0,14/17 (82%),7 (1),1,0,60',D,6.0
Paulo Victor,0,0,0,34/40 (85%),16 (6),6,0,90',D,5.9
Ítalo,0,0,0,15/19 (79%),23 (4),4,0,66',M,5.3
