Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Everton,1,0,0,38/44 (86%),13 (7),7,0,90',M,9.6
Fabrício Bruno,0,0,0,54/57 (95%),14 (6),1,5,90',D,7.8
Arrascaeta,0,1,1,31/37 (84%),13 (9),9,0,51',F,7.8
Léo Pereira,1,0,0,33/33 (100%),18 (10),6,4,90',D,7.8
Bruno Henrique,0,0,0,16/19 (84%),11 (7),5,2,35',M,7.7
Luiz Araújo,0,1,1,33/35 (94%),14 (4),4,0,66',M,7.7
Guillermo Varela,1,0,1,50/52 (96%),13 (2),2,0,80',D,7.4
Pedro,1,0,0,19/22 (86%),10 (1),1,0,90',F,7.4
Ayrton Lucas,0,0,0,40/46 (87%),27 (10),7,3,90',D,7.2
Gabriel Barbosa,0,0,0,14/18 (78%),6 (2),2,0,50',F,7.1
Erick Pulgar,0,0,0,40/43 (93%),7 (4),4,0,66',M,7.0
Gerson,0,1,0,39/40 (98%),13 (3),3,0,66',M,7.0
Wesley França,0,0,0,12/14 (86%),6 (3),3,0,21',D,7.0
Agustín Rossi,0,0,0,10/10 (100%),0 (0),0,0,90',G,6.9
Allan,0,0,0,18/22 (82%),4 (3),3,0,35',M,6.9
Victor Hugo,0,0,1,20/21 (95%),6 (2),2,0,35',M,6.9
