Player,Defensive_actions,Clearances,Blocked_shots,Interceptions,Tackles,Dribbled_past,Notes,Position,Sofascore_rating
Everton,2,1,0,1,0,3,Error led to shot: 1,M,9.6
Fabrício Bruno,7,3,1,3,0,0,-,D,7.8
Arrascaeta,0,0,0,0,1,0,-,F,7.8
Léo Pereira,3,2,0,1,0,3,-,D,7.8
Bruno Henrique,1,0,0,1,0,0,-,M,7.7
Luiz Araújo,1,0,0,1,1,2,-,M,7.7
Guillermo Varela,3,0,0,3,1,3,-,D,7.4
Pedro,1,0,0,1,0,0,-,F,7.4
Ayrton Lucas,4,2,0,2,0,2,-,D,7.2
Gabriel Barbosa,0,0,0,0,0,1,-,F,7.1
Erick Pulgar,1,0,0,1,0,1,-,M,7.0
Gerson,0,0,0,0,0,2,-,M,7.0
Wesley França,0,0,0,0,0,0,-,D,7.0
Agustín Rossi,1,0,0,1,0,0,-,G,6.9
Allan,1,1,0,0,0,0,-,M,6.9
Victor Hugo,1,0,0,1,1,1,-,M,6.9
