Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Vitor Eudes,0,0,0,33/38 (87%),0 (0),0,0,90',G,8.3
Felipe de Andrade,0,0,0,61/63 (97%),18 (6),5,1,90',M,7.6
Lelê,1,0,0,13/16 (81%),25 (10),9,1,90',F,7.4
João Neto,0,0,0,24/26 (92%),27 (13),12,1,90',F,7.2
Antônio Carlos,0,0,1,58/62 (94%),13 (7),4,3,90',D,7.1
Edinho,0,0,0,40/41 (98%),11 (6),6,0,42',M,7.1
Arthur W.,0,1,1,37/38 (97%),20 (8),7,1,86',M,7.0
Cristiano,0,0,1,35/41 (85%),15 (4),4,0,90',D,6.9
Alexandre Jesus,0,0,0,32/39 (82%),12 (5),4,1,86',D,6.8
Luan Freitas,0,0,0,67/70 (96%),4 (2),2,0,90',D,6.8
Isaac,0,0,0,11/12 (92%),28 (11),11,0,90',F,6.7
Rafael Monteiro,0,0,0,7/8 (88%),2 (0),0,0,8',F,6.7
Kauã Elias,0,0,0,8/9 (89%),5 (2),1,1,22',M,6.5
Lucas Justen,0,0,0,14/16 (88%),4 (2),2,0,22',D,6.3
Gustavo Apis,0,0,0,13/16 (81%),15 (4),4,0,66',M,6.0
