Player,Defensive_actions,Clearances,Blocked_shots,Interceptions,Tackles,Dribbled_past,Notes,Position,Sofascore_rating
Vitor Eudes,1,0,0,1,0,0,-,G,8.3
Felipe de Andrade,5,1,1,3,0,1,-,M,7.6
Lelê,1,1,0,0,0,1,Error led to shot: 1,F,7.4
João Neto,4,1,0,3,0,1,-,F,7.2
Antônio Carlos,6,6,0,0,1,1,-,D,7.1
Edinho,0,0,0,0,0,0,-,M,7.1
Arthur W.,0,0,0,0,1,2,-,M,7.0
Cristiano,4,2,0,2,1,2,-,D,6.9
Alexandre Jesus,5,3,0,2,0,0,-,D,6.8
Luan Freitas,4,3,0,1,0,0,-,D,6.8
Isaac,0,0,0,0,0,1,-,F,6.7
Rafael Monteiro,0,0,0,0,0,0,-,F,6.7
Kauã Elias,0,0,0,0,0,0,-,M,6.5
Lucas Justen,0,0,0,0,0,2,-,D,6.3
Gustavo Apis,3,1,0,2,0,1,Error led to shot: 1\nPenalty committed: 1,M,6.0
