Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Sanchez Costa,0,0,0,35/43 (81%),15 (4),3,1,90',D,7.7
Júlio Cesar,0,0,0,14/19 (74%),13 (7),6,1,72',F,7.5
Paulo Henrique,0,0,0,13/14 (93%),0 (0),0,0,90',G,7.5
Marcos Vinicius,1,0,0,7/16 (44%),22 (9),7,2,90',M,7.3
Juninho,0,1,0,6/7 (86%),3 (1),1,0,18',D,7.0
Wellington Silva,0,0,1,43/46 (93%),29 (14),12,2,90',D,6.9
Augusto,0,0,1,45/48 (94%),18 (6),4,2,90',D,6.8
Luan Gabriel,0,0,0,42/49 (86%),19 (10),8,2,82',D,6.8
Bruno Barra,0,0,0,11/12 (92%),6 (4),1,3,36',M,6.7
Lucas Oliveira,0,0,0,10/11 (91%),15 (5),5,0,55',M,6.7
Ítalo,0,0,2,9/12 (75%),21 (7),6,1,90',F,6.6
Leonardo de Almeida,0,0,0,30/34 (88%),20 (9),9,0,90',M,6.6
Marco Gabriel,0,0,0,4/5 (80%),1 (1),1,0,8',D,6.6
Henrique Silva,0,0,1,40/42 (95%),7 (2),2,0,72',M,6.5
Thiago Alagoano,0,0,0,3/6 (50%),4 (1),1,0,36',F,6.5
Robinho,0,0,0,22/24 (92%),13 (3),3,0,53',M,6.2
