Player,Defensive_actions,Clearances,Blocked_shots,Interceptions,Tackles,Dribbled_past,Notes,Position,Sofascore_rating
Sanchez Costa,5,3,0,2,0,1,-,D,7.7
Júlio Cesar,0,0,0,0,0,1,-,F,7.5
Paulo Henrique,1,1,0,0,0,0,-,G,7.5
Marcos Vinicius,2,1,1,0,0,0,-,M,7.3
Juninho,1,0,1,0,0,0,-,D,7.0
Wellington Silva,4,3,0,1,1,0,-,D,6.9
Augusto,4,1,0,3,1,1,-,D,6.8
Luan Gabriel,2,1,0,1,0,4,-,D,6.8
Bruno Barra,1,1,0,0,0,1,-,M,6.7
Lucas Oliveira,1,0,0,1,0,2,-,M,6.7
Ítalo,1,1,0,0,2,0,-,F,6.6
Leonardo de Almeida,1,1,0,0,0,2,-,M,6.6
Marco Gabriel,0,0,0,0,0,0,-,D,6.6
Henrique Silva,0,0,0,0,1,0,Error led to shot: 1,M,6.5
Thiago Alagoano,0,0,0,0,0,0,-,F,6.5
Robinho,0,0,0,0,0,1,-,M,6.2
