Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Gabriel Leite,0,0,0,28/29 (97%),1 (1),1 (1),0 (0),90',G,7.3
Gabriel Canela,0,0,0,10/11 (91%),11 (9),11 (9),0 (0),34',M,7.1
Anderson Lessa,0,0,0,6/9 (67%),8 (5),1 (1),7 (4),75',F,6.8
Erick Daltro,0,0,0,28/34 (82%),11 (5),8 (3),3 (2),90',D,6.8
Gabriel Saulo,0,0,1,5/10 (50%),9 (4),9 (4),0 (0),75',M,6.8
Weslley Felipe Soares Souza,0,0,0,43/52 (83%),5 (3),4 (3),1 (0),90',D,6.8
Renatinho,0,0,0,33/38 (87%),29 (12),29 (12),0 (0),90',M,6.7
Victor Oliveira,0,0,0,42/53 (79%),8 (4),6 (2),2 (2),90',D,6.7
Bruno Tatavitto,0,0,0,11/11 (100%),4 (1),4 (1),0 (0),16',M,6.6
Gabryel Vinicius,0,0,0,4/4 (100%),5 (2),5 (2),0 (0),34',M,6.6
João Victor Maranhão,0,0,0,2/4 (50%),10 (2),7 (1),3 (1),34',F,6.6
Jose Ricardo Batista Cerqueira,0,0,0,30/39 (77%),24 (10),22 (9),2 (1),90',D,6.6
Cleyton,0,0,0,13/15 (87%),12 (6),11 (6),1 (0),90',F,6.5
Jose Antonio da Rocha Santos,0,0,0,3/3 (100%),7 (3),7 (3),0 (0),22',M,6.5
Adsson Igor Marinho,0,0,0,29/31 (94%),20 (6),17 (5),3 (1),90',M,6.3
Yaya Banhoro,0,0,0,10/15 (67%),14 (2),14 (2),0 (0),52',M,5.9
