Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Anderson Rosa,0,0,0,27/32 (84%),12 (7),12 (7),0 (0),90',M,7.8
João Paulo,0,0,1,51/56 (91%),20 (5),19 (5),1 (0),90',M,7.5
Nenê Bonilha,0,0,0,29/35 (83%),14 (6),11 (4),3 (2),90',M,7.4
Romarinho,1,0,1,21/25 (84%),16 (3),16 (3),0 (0),71',M,7.4
Diego Guerra,0,0,0,50/53 (94%),12 (4),7 (2),5 (2),90',D,7.3
Pará,0,0,0,27/35 (77%),12 (1),11 (1),1 (0),90',D,7.2
Rodolfo Filemon,0,0,0,50/54 (93%),7 (3),5 (2),2 (1),90',D,7.2
Gerson Dida,0,0,0,6/6 (100%),1 (1),0 (0),1 (1),90',G,7.1
Joazi,0,0,0,30/37 (81%),17 (7),15 (6),2 (1),90',D,7.0
Wellington Cézar,0,0,0,45/52 (87%),26 (13),24 (11),2 (2),90',M,6.9
Patrick Carvalho,0,0,0,2/2 (100%),7 (1),6 (1),1 (0),71',F,6.7
Elicley Soares,0,0,0,2/4 (50%),18 (8),17 (8),1 (0),38',M,6.6
Hernane,0,0,0,4/5 (80%),5 (1),3 (0),2 (1),38',F,6.6
Ronaldo,0,0,0,3/5 (60%),2 (0),2 (0),0 (0),17',D,6.5
Kayo,0,0,1,1/2 (50%),5 (1),5 (1),0 (0),17',M,6.4
Vinícius Garcia,0,0,0,3/3 (100%),0 (0),0 (0),0 (0),5',M,-
