Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Fabricio,0,0,0,14/16 (88%),0 (0),0 (0),0 (0),90',G,7.6
Joao Victor,1,0,0,10/13 (77%),8 (4),8 (4),0 (0),72',M,7.5
Carlinhos,1,0,0,6/7 (86%),13 (5),9 (3),4 (2),81',F,7.4
Emerson Carioca,0,1,0,6/7 (86%),9 (4),5 (2),4 (2),45',M,6.8
Sergio Raphael dos Anjos,0,0,1,59/66 (89%),8 (4),6 (2),2 (2),90',D,6.8
Alexandre Junio Santos da Silva,0,0,0,8/10 (80%),14 (6),10 (6),4 (0),81',M,6.7
Cayo Tenório,0,0,0,29/33 (88%),17 (2),17 (2),0 (0),90',D,6.7
Maxsuell Alexandre Alves Soares,0,0,1,3/3 (100%),8 (3),8 (3),0 (0),35',M,6.7
Ronald,0,0,0,40/42 (95%),8 (2),6 (0),2 (2),90',M,6.7
Albert,0,0,0,20/23 (87%),6 (1),5 (1),1 (0),90',M,6.6
Ezequiel,0,0,0,6/10 (60%),14 (4),13 (3),1 (1),63',M,6.6
Gabriel,0,0,0,39/45 (87%),16 (4),11 (2),5 (2),90',D,6.6
Maicon Araújo dos Santos,0,0,1,19/24 (79%),13 (4),11 (4),2 (0),63',D,6.6
Italo,0,0,0,9/11 (82%),2 (0),2 (0),0 (0),45',D,6.3
Índio,0,0,0,8/8 (100%),9 (2),8 (2),1 (0),26',M,6.1
Lucas Cruz Siqueira da Silva,0,0,0,3/4 (75%),10 (3),9 (2),1 (1),26',M,6.1
