Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Hugo Cabral,1,0,0,12/17 (71%),19 (11),19 (11),0 (0),90',M,8.0
Marcelo,0,0,1,21/26 (81%),11 (5),10 (4),1 (1),90',F,8.0
Davi Santos,0,0,0,20/25 (80%),14 (7),13 (6),1 (1),76',M,7.0
Gustavo Tonoli,0,0,0,12/13 (92%),13 (4),7 (3),6 (1),85',F,6.9
Eduardo Rosado,0,0,0,19/24 (79%),6 (4),3 (2),3 (2),85',M,6.8
Pablo Ricardo,0,0,1,25/27 (93%),11 (4),7 (1),4 (3),90',D,6.8
Paulo Vitor,0,0,0,33/44 (75%),19 (10),16 (8),3 (2),90',D,6.8
Yago,0,0,0,28/34 (82%),7 (4),6 (3),1 (1),67',D,6.8
Alexandre Souza Domingues,0,0,0,13/14 (93%),3 (1),3 (1),0 (0),67',M,6.7
Gabriel Agú,0,0,0,16/17 (94%),6 (4),5 (4),1 (0),22',M,6.7
Lucas,0,0,0,17/20 (85%),5 (2),5 (2),0 (0),40',D,6.7
Guilherme,0,0,0,5/7 (71%),9 (4),8 (4),1 (0),32',M,6.6
Maswel Ananias Silva,0,0,0,7/7 (100%),6 (2),6 (2),0 (0),40',M,6.6
Rafael Pernão,0,0,0,3/5 (60%),1 (0),1 (0),0 (0),22',M,6.5
Eduardo Thuram,0,0,0,31/38 (82%),10 (2),6 (1),4 (1),90',D,6.4
Diogo,0,0,0,12/15 (80%),1 (1),1 (1),0 (0),90',G,6.3
