Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Crystopher,0,0,0,27/34 (79%),22 (9),9,0,90',M,7.5
Matheus Alessandro,0,0,0,26/31 (84%),33 (14),14,0,90',M,7.5
Sheldon,0,0,0,57/63 (90%),8 (2),2,0,90',D,7.1
Jefferson Souza,0,0,4,6/8 (75%),14 (5),5,0,54',F,7.0
André Luiz,0,0,0,14/15 (93%),0 (0),0,0,90',G,6.9
Matheus Lucas,0,0,0,5/9 (56%),14 (6),6,0,54',F,6.9
Ryan,0,0,0,54/60 (90%),12 (5),5,0,90',F,6.9
Gabriel Conceição,0,0,0,8/8 (100%),7 (4),4,0,54',F,6.8
Alyson,0,0,0,20/25 (80%),8 (2),2,0,79',D,6.6
Mizael Monteiro,0,0,0,40/42 (95%),17 (7),5,2,90',D,6.6
William Oliveira,0,0,1,19/22 (86%),12 (4),4,0,74',M,6.4
Leo Costa,0,0,1,12/15 (80%),8 (1),0,1,34',M,6.3
Mateus Ludke,0,0,0,12/16 (75%),7 (0),0,0,54',D,6.3
Pablo Maldini,0,0,0,5/10 (50%),6 (1),0,1,29',D,6.3
Raul,0,0,1,17/18 (94%),6 (2),1,1,54',D,6.3
Cristian Renato,0,0,0,3/3 (100%),7 (2),2,0,54',F,6.2
