Player,Defensive_actions,Clearances,Blocked_shots,Interceptions,Tackles,Dribbled_past,Notes,Position,Sofascore_rating
Crystopher,0,0,0,0,0,1,Error led to shot: 1,M,7.5
Matheus Alessandro,1,0,0,1,0,2,-,M,7.5
Sheldon,5,2,0,3,0,2,-,D,7.1
Jefferson Souza,0,0,0,0,4,2,-,F,7.0
André Luiz,2,1,0,1,0,0,Error led to shot: 1,G,6.9
Matheus Lucas,0,0,0,0,0,0,-,F,6.9
Ryan,0,0,0,0,0,0,Error led to shot: 1,F,6.9
Gabriel Conceição,1,0,0,1,0,0,-,F,6.8
Alyson,1,0,0,1,0,1,-,D,6.6
Mizael Monteiro,3,1,0,2,0,1,-,D,6.6
William Oliveira,1,0,0,1,1,1,-,M,6.4
Leo Costa,0,0,0,0,1,2,-,M,6.3
Mateus Ludke,2,1,1,0,0,0,Error led to shot: 1,D,6.3
Pablo Maldini,3,3,0,0,0,1,Error led to shot: 1,D,6.3
Raul,3,3,0,0,1,2,-,D,6.3
Cristian Renato,0,0,0,0,0,0,-,F,6.2
