Player,Goals,Assists,Tackles,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_rating
Leandrinho,1,0,1,33/37 (89%),8 (4),3,1,90',D,8.5
Manuel Capasso,1,0,2,56/61 (92%),13 (5),1,4,90',D,8.2
Halls,0,0,0,22/23 (96%),0 (0),0,0,90',G,8.0
Luca Orellano,0,1,0,24/31 (77%),25 (7),7,0,90',M,7.4
Patrick De Lucca,0,1,1,7/10 (70%),12 (6),5,1,75',F,7.4
Miranda,0,0,1,33/38 (87%),22 (11),7,4,90',D,7.2
Zé Vitor,0,0,0,59/63 (94%),7 (3),2,1,90',D,7.2
Guilherme Estrella,0,0,0,6/6 (100%),8 (4),3,1,33',F,7.0
Rodrigo,0,0,2,29/31 (94%),16 (5),5,0,88',M,6.9
Cauã Paixão,0,0,0,11/16 (69%),29 (10),7,3,90',F,6.8
Matheus Carvalho,0,0,0,32/37 (86%),15 (6),6,0,90',M,6.8
Cauan Lucas,0,0,1,20/24 (83%),15 (5),5,0,75',M,6.7
Léo Jacó,0,0,1,1/2 (50%),3 (1),1,0,19',M,6.7
Lucas Eduardo,0,0,0,7/9 (78%),8 (1),1,0,33',M,6.7
Victor Araujo,0,0,0,5/6 (83%),3 (0),0,0,8',D,6.4
