Player,Defensive_actions,Clearances,Blocked_shots,Interceptions,Tackles,Dribbled_past,Notes,Position,Sofascore_rating
Leandrinho,4,3,0,1,1,1,-,D,8.5
Manuel Capasso,7,6,0,1,2,1,-,D,8.2
Halls,2,1,0,1,0,0,-,G,8.0
Luca Orellano,0,0,0,0,0,4,-,M,7.4
Patrick De Lucca,3,0,1,2,1,0,-,F,7.4
Miranda,4,1,1,2,1,1,-,D,7.2
Zé Vitor,2,1,0,1,0,0,-,D,7.2
Guilherme Estrella,0,0,0,0,0,1,-,F,7.0
Rodrigo,0,0,0,0,2,2,-,M,6.9
Cauã Paixão,2,1,0,1,0,1,-,F,6.8
Matheus Carvalho,4,3,0,1,0,1,-,M,6.8
Cauan Lucas,2,1,0,1,1,1,-,M,6.7
Léo Jacó,3,2,0,1,1,0,-,M,6.7
Lucas Eduardo,1,0,1,0,0,0,-,M,6.7
Victor Araujo,0,0,0,0,0,0,-,D,6.4
