Team,Player,Goals,Assists,Tackles,Accurate passes,Ground duels (won),Aerial duels (won),Minutes played,Position,Sofascore rating
Bangu,Gabriel Leite,0,0,0,34/38,0,0,0,90,G,8.0
Bangu,Gabriel Saulo,0,0,0,16/20,5,5,0,86,M,7.3
Bangu,Cleyton,0,0,0,16/21,7,7,0,90,F,7.0
Bangu,Edgar Serafim dos Santos Neto,0,0,0,9/13,3,3,0,68,M,6.8
Bangu,Erick Daltro,0,0,0,19/22,1,1,0,68,D,6.7
Bangu,Gabriel Canela,0,0,0,14/15,9,9,0,40,M,6.7
Bangu,Walney,0,0,0,7/7,5,5,0,40,M,6.7
Bangu,João Victor Maranhão,0,0,0,4/5,8,7,1,90,F,6.6
Bangu,Jose Ricardo Batista Cerqueira,0,0,1,12/19,3,3,0,68,D,6.6
Bangu,Luiz Felipe de Souza Soares,0,0,0,55/60,2,1,1,90,D,6.6
Bangu,Rhuan Américo da Silva,0,0,0,9/11,1,1,0,40,D,6.6
Bangu,Victor Oliveira,0,0,1,43/46,1,0,1,81,D,6.6
Bangu,Adsson Igor Marinho,0,0,0,38/46,9,9,0,90,M,6.5
Bangu,Lorran,0,0,0,2/3,3,3,0,22,M,6.5
Bangu,Renatinho,0,0,1,26/27,6,6,0,90,M,6.3
Bangu,Andrezinho,0,0,0,13/13,0,0,0,28,D,6.2
