Team,Player,Defensive actions,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Bangu,Gabriel Leite,0,0,0,0,0,0,-,G,8.0
Bangu,Gabriel Saulo,3,0,0,3,0,0,-,M,7.3
Bangu,Cleyton,1,0,1,0,0,0,Error led to shot: 1,F,7.0
Bangu,Edgar Serafim dos Santos Neto,1,0,0,1,0,0,-,M,6.8
Bangu,Erick Daltro,5,2,0,3,0,1,-,D,6.7
Bangu,Gabriel Canela,1,0,0,1,0,0,-,M,6.7
Bangu,Walney,0,0,0,0,0,0,-,M,6.7
Bangu,João Victor Maranhão,2,1,0,1,0,0,-,F,6.6
Bangu,Jose Ricardo Batista Cerqueira,2,1,1,0,1,1,-,D,6.6
Bangu,Luiz Felipe de Souza Soares,10,5,1,4,0,2,-,D,6.6
Bangu,Rhuan Américo da Silva,1,0,0,1,0,0,-,D,6.6
Bangu,Victor Oliveira,2,1,1,0,1,0,-,D,6.6
Bangu,Adsson Igor Marinho,1,0,0,1,0,3,-,M,6.5
Bangu,Lorran,0,0,0,0,0,0,-,M,6.5
Bangu,Renatinho,1,1,0,0,1,2,-,M,6.3
Bangu,Andrezinho,0,0,0,0,0,1,-,D,6.2
