Team,Player,Defensive actions,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Botafogo,Júnior Santos,2,2,0,0,0,0,-,M,8.3
Botafogo,Kaué Rodrigues Pessanha,2,1,0,1,0,1,-,M,7.7
Botafogo,Matías Segovia,0,0,0,0,0,2,-,F,7.6
Botafogo,Diego Hernández,1,0,0,1,0,1,-,F,7.3
Botafogo,Igo Gabriel,1,1,0,0,0,0,-,G,7.3
Botafogo,Marçal,6,1,0,5,1,3,-,M,7.3
Botafogo,Newton Junior,3,2,0,1,1,0,-,D,7.3
Botafogo,Bastos,6,2,0,4,0,0,-,D,7.1
Botafogo,Jeffinho,0,0,0,0,0,3,-,F,7.0
Botafogo,Janderson,0,0,0,0,0,0,-,F,6.9
Botafogo,Jefferson Maciel,1,0,0,1,0,0,-,D,6.7
Botafogo,Eduardo,1,0,0,1,0,0,-,F,6.6
Botafogo,Marlon Freitas,0,0,0,0,0,0,-,M,6.6
Botafogo,Matheus Nascimento,0,0,0,0,0,0,-,F,6.6
Botafogo,Jacob Montes,1,1,0,0,2,3,-,M,6.4
Botafogo,Lucas Halter,0,0,0,0,0,1,-,D,6.4
