Team,Player,Goals,Assists,Tackles,Accurate passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes played,Position,Sofascore rating
Flamengo,Lorran Lucas,0,1,0,25/34,14,14,0,90,M,7.9
Flamengo,Thiaguinho,1,0,2,23/27,8,8,0,90,M,7.5
Flamengo,Petterson Novaes Reis,0,0,0,14/22,5,5,0,90,M,7.1
Flamengo,Rayan Lucas Marques de Souza,0,0,0,40/53,9,5,4,90,M,7.1
Flamengo,Werton,0,0,0,12/17,5,5,0,90,F,6.9
Flamengo,Evertton,0,0,1,50/55,11,8,3,90,M,6.8
Flamengo,Diegão,0,0,0,68/75,5,4,1,90,D,6.6
Flamengo,Lucyan,0,0,0,2/3,1,1,0,8,D,6.6
Flamengo,Matheus Cunha,0,0,0,27/32,0,0,0,90,G,6.6
Flamengo,Santiago Ocampos,0,0,0,52/61,2,1,1,90,D,6.6
Flamengo,Gabriel Noga,0,0,0,87/93,4,1,3,90,D,6.5
Flamengo,Pedro Henrique Estevam,0,0,0,0/1,0,0,0,11,F,6.5
Flamengo,Zé Welinton,0,0,0,43/56,7,6,1,90,D,6.2
