Team,Player,Defensive actions,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Flamengo,Lorran Lucas,1,0,0,1,0,0,-,M,7.9
Flamengo,Thiaguinho,1,1,0,0,2,0,-,M,7.5
Flamengo,Petterson Novaes Reis,0,0,0,0,0,0,-,M,7.1
Flamengo,Rayan Lucas Marques de Souza,3,1,0,2,0,3,-,M,7.1
Flamengo,Werton,1,0,0,1,0,1,-,F,6.9
Flamengo,Evertton,2,1,0,1,1,1,Error led to shot: 1,M,6.8
Flamengo,Diegão,1,0,1,0,0,1,Error led to shot: 1,D,6.6
Flamengo,Lucyan,0,0,0,0,0,0,-,D,6.6
Flamengo,Matheus Cunha,1,0,0,1,0,0,-,G,6.6
Flamengo,Santiago Ocampos,1,0,1,0,0,3,-,D,6.6
Flamengo,Gabriel Noga,4,2,2,0,0,0,Error led to shot: 2,D,6.5
Flamengo,Pedro Henrique Estevam,0,0,0,0,0,0,-,F,6.5
Flamengo,Zé Welinton,3,2,1,0,0,0,Error led to shot: 1,D,6.2
