Team,Player,Defensive actions,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Nova Iguaçu,Carlinhos,1,0,0,1,0,0,-,F,7.4
Nova Iguaçu,Bill,2,0,0,2,0,0,Error led to shot: 1,M,7.0
Nova Iguaçu,Albert,5,3,0,2,0,1,-,M,6.9
Nova Iguaçu,Fabricio,3,0,0,3,0,0,-,G,6.9
Nova Iguaçu,Yago,1,0,0,1,0,1,-,F,6.9
Nova Iguaçu,Alexandre Junio Santos da Silva,1,1,0,0,0,1,-,M,6.8
Nova Iguaçu,Cayo Tenório,5,2,1,2,0,0,-,D,6.8
Nova Iguaçu,Emerson Carioca,0,0,0,0,0,1,-,F,6.8
Nova Iguaçu,Sergio Raphael dos Anjos,11,4,2,5,0,3,-,D,6.8
Nova Iguaçu,Gabriel,7,5,0,2,0,1,-,D,6.7
Nova Iguaçu,Joao Victor,0,0,0,0,0,0,-,M,6.7
Nova Iguaçu,Lucas Campos,3,1,0,2,0,0,Error led to shot: 1,M,6.5
Nova Iguaçu,Sidney Pages,0,0,0,0,0,0,-,D,6.5
Nova Iguaçu,Índio,3,2,0,1,0,0,-,M,6.4
Nova Iguaçu,Italo,5,4,0,1,0,3,-,D,6.1
Nova Iguaçu,Ronald,1,1,0,0,0,2,Error led to shot: 1,M,5.9
