Team,Player,Goals,Assists,Tackles,Accurate passes,Ground duels (won),Aerial duels (won),Minutes played,Position,Sofascore rating
Sampaio Corrêa-RJ,Gabriel Agú,1,0,0,8/9,5,5,0,43,M,7.1
Sampaio Corrêa-RJ,Hugo Cabral,0,0,0,7/9,6,6,0,90,M,7.0
Sampaio Corrêa-RJ,Maswel Ananias Silva,1,0,0,3/7,3,3,0,64,F,6.9
Sampaio Corrêa-RJ,Alexandre Souza Domingues,0,0,1,9/11,7,7,0,61,M,6.8
Sampaio Corrêa-RJ,Davi Santos,0,0,0,7/10,8,6,2,73,M,6.7
Sampaio Corrêa-RJ,Marcelo,1,0,0,15/19,4,2,2,90,M,6.6
Sampaio Corrêa-RJ,Rodrigo Dantas,0,0,0,6/9,1,1,0,45,M,6.5
Sampaio Corrêa-RJ,Gustavo Tonoli,0,0,1,6/9,5,4,1,45,M,6.4
Sampaio Corrêa-RJ,Octávio,0,0,0,3/4,2,2,0,33,M,6.4
Sampaio Corrêa-RJ,Pablo Ricardo,0,0,1,22/22,1,0,1,90,D,6.4
Sampaio Corrêa-RJ,Roberto da Silva de Carvalho,0,0,0,3/7,2,1,1,33,D,6.4
Sampaio Corrêa-RJ,Eduardo Thuram,0,0,0,10/14,4,1,3,90,D,6.0
Sampaio Corrêa-RJ,Eduardo Rosado,0,0,0,11/12,0,0,0,61,M,5.9
Sampaio Corrêa-RJ,Yago,0,0,1,18/22,3,3,0,73,D,5.9
Sampaio Corrêa-RJ,Diogo,0,0,0,9/16,1,0,1,90,G,5.8
Sampaio Corrêa-RJ,Paulo Vitor,0,0,0,17/21,7,6,1,90,D,5.7
