Team,Player,Defensive actions,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Sampaio Corrêa-RJ,Gabriel Agú,0,0,0,0,0,1,-,M,7.1
Sampaio Corrêa-RJ,Hugo Cabral,3,0,0,3,0,0,-,M,7.0
Sampaio Corrêa-RJ,Maswel Ananias Silva,0,0,0,0,0,0,-,F,6.9
Sampaio Corrêa-RJ,Alexandre Souza Domingues,1,0,0,1,1,0,-,M,6.8
Sampaio Corrêa-RJ,Davi Santos,2,1,0,1,0,0,Error led to shot: 1,M,6.7
Sampaio Corrêa-RJ,Marcelo,1,0,0,1,0,0,Error led to shot: 2,M,6.6
Sampaio Corrêa-RJ,Rodrigo Dantas,3,2,0,1,0,0,-,M,6.5
Sampaio Corrêa-RJ,Gustavo Tonoli,1,1,0,0,1,1,-,M,6.4
Sampaio Corrêa-RJ,Octávio,0,0,0,0,0,1,-,M,6.4
Sampaio Corrêa-RJ,Pablo Ricardo,10,4,1,5,1,0,Error led to shot: 1,D,6.4
Sampaio Corrêa-RJ,Roberto da Silva de Carvalho,0,0,0,0,0,2,-,D,6.4
Sampaio Corrêa-RJ,Eduardo Thuram,5,4,0,1,0,3,-,D,6.0
Sampaio Corrêa-RJ,Eduardo Rosado,2,0,0,2,0,1,Error led to shot: 2,M,5.9
Sampaio Corrêa-RJ,Yago,1,0,0,1,1,3,-,D,5.9
Sampaio Corrêa-RJ,Diogo,0,0,0,0,0,1,Error led to shot: 1,G,5.8
Sampaio Corrêa-RJ,Paulo Vitor,3,2,0,1,0,3,-,D,5.7
