Team,Player,Goals,Assists,Tackles,Accurate passes,Duels_won,Ground duels (won),Aerial duels (won),Minutes played,Position,Sofascore rating
Vasco da Gama,Luca Orellano,1,1,0,35/43,10,9,1,90,M,8.6
Vasco da Gama,Cauã Paixão,1,0,0,11/19,12,11,1,90,F,7.5
Vasco da Gama,Felipe Estrella Galeazzi,0,0,0,4/6,6,5,1,18,M,7.4
Vasco da Gama,Cauan Lucas Barros da Luz,1,0,1,24/27,11,8,3,90,M,7.3
Vasco da Gama,Patrick De Lucca,0,1,2,43/48,3,3,0,90,M,7.2
Vasco da Gama,Matheus Carvalho,0,0,1,42/49,14,12,2,90,M,7.1
Vasco da Gama,Paulinho Paula,0,0,1,25/27,2,1,1,31,D,6.8
Vasco da Gama,Leandrinho,0,0,0,41/46,5,4,1,90,D,6.7
Vasco da Gama,Victor Araujo de Alencar Oliveira,0,0,0,6/7,2,0,2,18,D,6.7
Vasco da Gama,Zé Vitor,0,0,0,75/78,4,0,4,90,D,6.6
Vasco da Gama,Halls,0,0,0,23/23,2,0,2,90,G,6.4
Vasco da Gama,Rodrigo,0,0,0,28/31,3,3,0,88,M,6.4
Vasco da Gama,Manuel Capasso,0,0,1,66/72,6,3,3,88,D,6.1
Vasco da Gama,Miranda,0,0,0,41/43,4,4,0,76,D,6.1
