Team,Player,Defensive actions,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Vasco da Gama,Luca Orellano,0,0,0,0,0,0,-,M,8.6
Vasco da Gama,Cauã Paixão,1,0,0,1,0,0,-,F,7.5
Vasco da Gama,Felipe Estrella Galeazzi,0,0,0,0,0,0,-,M,7.4
Vasco da Gama,Cauan Lucas Barros da Luz,1,1,0,0,1,1,-,M,7.3
Vasco da Gama,Patrick De Lucca,2,0,0,2,2,1,-,M,7.2
Vasco da Gama,Matheus Carvalho,2,1,0,1,1,2,-,M,7.1
Vasco da Gama,Paulinho Paula,0,0,0,0,1,0,-,D,6.8
Vasco da Gama,Leandrinho,2,1,1,0,0,2,Error led to shot: 1,D,6.7
Vasco da Gama,Victor Araujo de Alencar Oliveira,0,0,0,0,0,0,-,D,6.7
Vasco da Gama,Zé Vitor,5,3,1,1,0,0,-,D,6.6
Vasco da Gama,Halls,1,0,0,1,0,0,Error led to shot: 1,G,6.4
Vasco da Gama,Rodrigo,2,1,0,1,0,1,-,M,6.4
Vasco da Gama,Manuel Capasso,2,0,0,2,1,1,Error led to shot: 1,D,6.1
Vasco da Gama,Miranda,0,0,0,0,0,6,-,D,6.1
