Team,Player,Goals,Assists,Tackles,Accurate passes,Duels won,Ground duels won,Aerial duels won,Minutes played,Position,Sofascore rating
Audax-RJ,Gerson Júnior,0,0,0,29/33 (88%),22 (12),21 (12),1 (0),90',M,7.3
Audax-RJ,Patrick,0,0,0,38/42 (90%),33 (14),31 (14),2 (0),90',F,7.3
Audax-RJ,Leandro Naziozeno,0,0,0,10/12 (83%),0 (0),0 (0),0 (0),90',G,7.2
Audax-RJ,Arlen,0,0,0,19/21 (90%),10 (5),9 (5),1 (0),44',D,6.9
Audax-RJ,Jackson Caucaia,0,0,0,24/27 (89%),7 (4),6 (3),1 (1),34',M,6.6
Audax-RJ,Romarinho,0,0,0,24/27 (89%),8 (4),7 (3),1 (1),56',M,6.6
Audax-RJ,Diego Miticov,0,0,0,25/27 (93%),10 (1),9 (1),1 (0),66',M,6.5
Audax-RJ,Pablo Alves,0,0,0,12/13 (92%),4 (0),3 (0),1 (0),34',M,6.5
Audax-RJ,Victor Gualberto Araujo,0,0,0,16/17 (94%),3 (0),3 (0),0 (0),40',M,6.4
Audax-RJ,João Cabral,0,0,0,4/5 (80%),5 (1),4 (1),1 (0),40',F,6.2
Audax-RJ,João Victor de Sousa Cabral,0,0,0,28/31 (90%),10 (1),9 (1),1 (0),90',D,6.2
Audax-RJ,Igor,0,0,0,27/32 (84%),9 (5),9 (5),0 (0),90',D,6.0
Audax-RJ,Matheus Claudino,0,0,0,14/17 (82%),7 (1),6 (1),1 (0),60',D,6.0
Audax-RJ,Paulo Victor,0,0,0,34/40 (85%),16 (6),16 (6),0 (0),90',D,5.9
Audax-RJ,Ítalo,0,0,0,15/19 (79%),23 (4),20 (4),3 (0),66',M,5.3
