Player,Clearances,Blocked shots,Interceptions,Tackles,Dribbled past,Notes,Position,Sofascore rating
Everton,2,1,0,1,0,3,Error led to shot: 1,M,9.6
Fabrício Bruno,7,3,1,3,0,0,-,D,7.8
Giorgian De Arrascaeta,0,0,0,0,1,0,-,F,7.8
Léo Pereira,3,2,0,1,0,3,-,D,7.8
Bruno Henrique,1,0,0,1,0,0,-,M,7.7
Luiz Araújo,1,0,0,1,1,2,-,M,7.7
Guillermo Varela,3,0,0,3,1,3,-,D,7.4
Pedro,1,0,0,1,0,0,-,F,7.4
Ayrton Lucas,4,2,0,2,0,2,-,D,7.2
Gabriel Barbosa,0,0,0,0,0,1,-,F,7.1
Erick Pulgar,1,0,0,1,0,1,-,M,7.0
Gerson,0,0,0,0,0,2,-,M,7.0
Wesley França,0,0,0,0,0,0,-,D,7.0
Agustín Rossi,1,0,0,1,0,0,-,G,6.9
Allan,1,1,0,0,0,0,-,M,6.9
Victor Hugo,1,0,0,1,1,1,-,M,6.9
Clisman,0,0,0,0,1,0,-,F,6.6
Jackson Caucaia,1,0,0,1,0,0,Error led to shot: 1,M,6.6
Romarinho,4,3,0,1,0,1,-,M,6.6
Diego Miticov,5,0,2,3,0,0,-,M,6.5
Pablo Alves,0,0,0,0,0,0,-,M,6.5
João Cabral,1,1,0,0,0,0,-,F,6.2
João Victor de Sousa Cabral,9,4,1,4,0,1,Error led to shot: 1,D,6.2
Igor,5,4,0,1,0,3,-,D,6.0
Matheus Claudino,4,1,1,2,0,2,-,D,6.0
Paulo Victor,5,5,0,0,0,3,-,D,5.9
Ítalo,0,0,0,0,0,2,Error led to shot: 2,M,5.3
